scene_id	sigma	r	noise_before	noise_after
160	0.15	0.01	0.3612836	0.64520097
160	0.15	0.01	0.35754192	0.27432942
161	0.15	0.01	0.35826328	0.2666101
161	0.15	0.01	0.36342755	0.29549438
161	0.15	0.01	0.33570498	0.27163574
162	0.15	0.01	0.3609462	0.23199947
162	0.15	0.01	0.36041892	0.2681981
162	0.15	0.01	0.34685966	0.2561793
163	0.15	0.01	0.3502978	0.28171298
163	0.15	0.01	0.34473884	0.2961816
163	0.15	0.01	0.3328516	0.23030376
164	0.15	0.01	0.3611868	0.28672162
164	0.15	0.01	0.3831558	0.3300841
164	0.15	0.01	0.3495763	0.20710705
165	0.15	0.01	0.3614537	0.36273345
165	0.15	0.01	0.37907562	0.3027428
165	0.15	0.01	0.35563496	0.20878735
166	0.15	0.01	0.3474112	0.30946258
166	0.15	0.01	0.3672759	0.2562981
166	0.15	0.01	0.3448824	0.25912702
167	0.15	0.01	0.34542483	0.25073123
167	0.15	0.01	0.371899	0.2889783
167	0.15	0.01	0.35730824	0.23051322
168	0.15	0.01	0.34441966	0.25349218
168	0.15	0.01	0.38956916	0.25536948
168	0.15	0.01	0.349838	0.22453178
169	0.15	0.01	0.35294724	0.2268568
169	0.15	0.01	0.3850008	0.26183587
169	0.15	0.01	0.33985797	0.24355583
170	0.15	0.01	0.33863193	0.27575082
170	0.15	0.01	0.38246596	0.30934823
170	0.15	0.01	0.3639149	0.23663603
171	0.15	0.01	0.35742298	0.23896855
171	0.15	0.01	0.3930085	0.34068474
171	0.15	0.01	0.35861093	0.2662773
172	0.15	0.01	0.35524136	0.2963608
172	0.15	0.01	0.40366226	0.21313494
172	0.15	0.01	0.36853373	0.30256274
173	0.15	0.01	0.34983188	0.32471898
173	0.15	0.01	0.38088498	0.26898387
173	0.15	0.01	0.3493432	0.23470615
174	0.15	0.01	0.35047993	0.24232332
174	0.15	0.01	0.36179242	0.23273551
174	0.15	0.01	0.3541776	0.25126496
175	0.15	0.01	0.34811822	0.21192312
175	0.15	0.01	0.37374488	0.2568287
175	0.15	0.01	0.35777342	0.21130532
176	0.15	0.01	0.33529025	0.21740194
176	0.15	0.01	0.3522293	0.30061528
176	0.15	0.01	0.33907863	0.23790276
177	0.15	0.01	0.3635717	0.24110161
177	0.15	0.01	0.36898005	0.3093753
177	0.15	0.01	0.3506383	0.22338961
178	0.15	0.01	0.3795142	0.2635982
178	0.15	0.01	0.35287702	0.28565377
178	0.15	0.01	0.3584652	0.20918989
179	0.15	0.01	0.3478032	0.21619259
179	0.15	0.01	0.34092164	0.30725655
179	0.15	0.01	0.35484704	0.27713144
180	0.15	0.01	0.35253268	0.2212837
180	0.15	0.01	0.39055416	0.2966467
180	0.15	0.01	0.3513143	0.20019382
181	0.15	0.01	0.33517495	0.19488816
181	0.15	0.01	0.36764187	0.27040315
181	0.15	0.01	0.3537423	0.32927078
182	0.15	0.01	0.3497088	0.20858184
182	0.15	0.01	0.3599646	0.58196074
182	0.15	0.01	0.3583963	0.21431057
183	0.15	0.01	0.33938015	0.31493747
183	0.15	0.01	0.3393217	0.95998883
183	0.15	0.01	0.35316426	0.24565616
184	0.15	0.01	0.35492975	0.21632656
184	0.15	0.01	0.3655511	0.25627574
184	0.15	0.01	0.34865406	0.20684856
185	0.15	0.01	0.35028157	0.20811172
185	0.15	0.01	0.3638405	0.24579994
185	0.15	0.01	0.35159674	0.21271113
186	0.15	0.01	0.34411472	0.2031137
186	0.15	0.01	0.36002672	0.3027889
186	0.15	0.01	0.35620266	0.19489315
187	0.15	0.01	0.3594231	0.20299524
187	0.15	0.01	0.37158227	0.30450526
187	0.15	0.01	0.35177124	0.19505848
188	0.15	0.01	0.36380854	0.20555727
188	0.15	0.01	0.3667887	0.19718288
188	0.15	0.01	0.34056687	0.22458717
189	0.15	0.01	0.33832687	0.20403993
189	0.15	0.01	0.37947148	0.23187149
189	0.15	0.01	0.3440151	0.20037717
190	0.15	0.01	0.33259633	0.24832226
190	0.15	0.01	0.3527675	0.26209936
190	0.15	0.01	0.35704166	0.21078533
191	0.15	0.01	0.34002244	0.29668084
191	0.15	0.01	0.36105907	0.29309115
191	0.15	0.01	0.37975404	0.24424791
192	0.15	0.01	0.36657766	0.4794848
192	0.15	0.01	0.3653854	0.30195817
192	0.15	0.01	0.36317718	0.2184037
193	0.15	0.01	0.34746426	0.26947144
193	0.15	0.01	0.35181358	0.27167556
193	0.15	0.01	0.35774067	0.20193082
194	0.15	0.01	0.33936176	0.24641815
194	0.15	0.01	0.38395298	0.28351086
194	0.15	0.01	0.31985614	0.16596441
195	0.15	0.01	0.3493491	0.3009077
195	0.15	0.01	0.3622427	0.25871453
195	0.15	0.01	0.33775893	0.17109837
196	0.15	0.01	0.3608811	0.29735664
196	0.15	0.01	0.36249626	0.42635247
196	0.15	0.01	0.33780494	0.1794545
197	0.15	0.01	0.36056858	0.4373155
197	0.15	0.01	0.37909162	0.28560498
197	0.15	0.01	0.34211203	0.1830607
198	0.15	0.01	0.37868908	0.30597523
198	0.15	0.01	0.39499196	0.32909447
198	0.15	0.01	0.3494072	0.20117189
199	0.15	0.01	0.3604532	0.25528264
199	0.15	0.01	0.35939598	0.23351118
199	0.15	0.01	0.35183966	0.1869147
200	0.15	0.01	0.3506267	0.2243784
200	0.15	0.01	0.35997185	0.25641587
200	0.15	0.01	0.35119927	0.24458277
201	0.15	0.01	0.360381	0.26958525
201	0.15	0.01	0.35882747	0.23724367
201	0.15	0.01	0.36473632	0.26096657
202	0.15	0.01	0.3546843	0.26394647
202	0.15	0.01	0.37964055	0.24894652
202	0.15	0.01	0.32793102	0.22148904
203	0.15	0.01	0.33707055	0.2974087
203	0.15	0.01	0.38638374	0.18976165
203	0.15	0.01	0.35755843	0.22619379
204	0.15	0.01	0.35655496	0.27256027
204	0.15	0.01	0.36194244	0.56229806
204	0.15	0.01	0.3310783	0.2130763
205	0.15	0.01	0.365851	0.26301965
205	0.15	0.01	0.34536693	0.43085358
205	0.15	0.01	0.34829938	0.18730192
206	0.15	0.01	0.3739422	0.23070683
206	0.15	0.01	0.35604468	0.2607827
206	0.15	0.01	0.35398048	0.22738332
207	0.15	0.01	0.3574471	0.21308833
207	0.15	0.01	0.3738076	0.27704644
207	0.15	0.01	0.32962433	0.19272609
208	0.15	0.01	0.35222447	0.22702809
208	0.15	0.01	0.3748477	0.3613657
208	0.15	0.01	0.3344713	0.19837531
209	0.15	0.01	0.35451046	0.23064932
209	0.15	0.01	0.37688887	0.28744864
209	0.15	0.01	0.35184953	0.23861486
210	0.15	0.01	0.36760557	0.255474
210	0.15	0.01	0.36769676	0.24508065
210	0.15	0.01	0.35120586	0.23200224
